GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
back,com.example.back.security.config,WebConfig,47,0,0,0,5,0,2,0,2,0
back,com.example.back.security.config,DataSourceConfig,45,0,0,0,10,0,2,0,2,0
back,com.example.back.security.config,MailConfig,0,44,0,0,0,12,0,2,0,2
back,com.example.back.security.config,WebSecurityConfig,76,0,0,0,15,0,8,0,8,0
back,com.example.back.appuser,AppUserService,92,0,2,0,19,0,7,0,6,0
back,com.example.back.appuser,AppUser,317,83,69,3,3,23,47,16,12,15
back,com.example.back.appuser,AppUserRole,0,15,0,0,0,3,0,1,0,1
back,com.example.back,BackApplication,8,0,0,0,3,0,2,0,2,0
back,com.example.back.registration,RegistrationRequest,181,27,38,0,2,5,23,5,4,5
back,com.example.back.registration,EmailValidator,0,14,0,0,0,4,0,3,0,3
back,com.example.back.registration,RegistrationController,16,0,0,0,3,0,3,0,3,0
back,com.example.back.registration,RegistrationService,44,75,3,1,10,11,4,3,2,3
back,com.example.back.security,AuthenticationController,42,90,4,4,12,23,4,3,0,3
back,com.example.back.security,JwtRequestFilter,75,0,10,0,22,0,7,0,2,0
back,com.example.back.security,AuthenticationRequest,120,15,22,0,2,3,18,3,7,3
back,com.example.back.security,AuthenticationResponse,73,9,14,0,1,2,11,2,4,2
back,com.example.back.security,CustomUserDetails,33,0,0,0,11,0,8,0,8,0
back,com.example.back.security,PasswordEncoder,7,0,0,0,2,0,2,0,2,0
back,com.example.back.security,JwtUtil,111,0,4,0,23,0,11,0,9,0
back,com.example.back.security,CustomUserDetailsService,18,0,0,0,3,0,3,0,3,0
back,com.example.back.email,EmailService,10,39,0,0,3,12,0,3,0,3
back,com.example.back.registration.token,ConfirmationToken,26,34,0,0,2,12,7,7,7,7
back,com.example.back.registration.token,ConfirmationTokenService,23,0,0,0,6,0,4,0,4,0
